"","bill_number","bill_link","bill_name","current_status","first_house_progress","second_house_progress","after_passage_progress","description","sponsors","requester","bill_history","democrat_sponsor_count","republican_sponsor_count","total_days_spent","season_years_active","party","general_status","chapter","year"
"1072",2071,"https://app.leg.wa.gov/billsummary?BillNumber=2071&Year=2021&Initiative=false","HB 2071","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning tort modernization.","MacEwen","No Requester","2022 REGULAR SESSION: Start Jan 21 End Jan 21.",0,1,0,"2022","republican","in committee",NA,NA
"1073",2072,"https://app.leg.wa.gov/billsummary?BillNumber=2072&Year=2021&Initiative=false","HB 2072","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the classification of manufactured homes as real property.","Steele, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 21 End Jan 21.",0,2,0,"2022","republican","in committee",NA,NA
"1074",2073,"https://app.leg.wa.gov/billsummary?BillNumber=2073&Year=2021&Initiative=false","Engrossed - EHB 2073","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing the state capitol committee as an advisory entity of state government.","Steele, Tharinger","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 15. IN THE SENATE: Start Feb 17 End Mar 10.",1,1,48,"2022","bipartisan","rules committee",NA,NA
"1075",2074,"https://app.leg.wa.gov/billsummary?BillNumber=2074&Year=2021&Initiative=false","HB 2074","C 40 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning fees collected from out-of-state residents who register off-road vehicles in Washington.","Wylie","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 14. IN THE SENATE: Start Feb 16 End Mar 3. IN THE HOUSE: Start Mar 3 End Mar 3. IN THE SENATE: Start Mar 4 End Mar 4. OTHER THAN LEGISLATIVE ACTION: Start Mar 7 End Mar 11.",1,0,49,"2022","democrat","passed",40,22
"1076",2075,"https://app.leg.wa.gov/billsummary?BillNumber=2075&Year=2021&Initiative=false","Engrossed 2nd Substitute - E2SHB 2075","Gov vetoed","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '0']","Establishing service requirements for the department of social and health services.","Peterson, Fitzgibbon, Simmons, Morgan, Chopp, Walen, Macri, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 15. IN THE SENATE: Start Feb 17 End Mar 3. IN THE HOUSE: Start Mar 8 End Mar 9. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 31.",7,1,69,"2022","bipartisan","vetoed",NA,NA
"1077",2076,"https://app.leg.wa.gov/billsummary?BillNumber=2076&Year=2021&Initiative=false","Engrossed Substitute - ESHB 2076","C 281 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning rights and obligations of transportation network company drivers and transportation network companies.","Berry, Simmons, Kloba, Bergquist, Pollet, Kirby, Bronoske, Fitzgibbon, Ryu, Macri","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 23. IN THE SENATE: Start Feb 25 End Mar 4. IN THE HOUSE: Start Mar 7 End Mar 8. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 31.",11,0,69,"2022","democrat","passed",281,22
"1078",2077,"https://app.leg.wa.gov/billsummary?BillNumber=2077&Year=2021&Initiative=false","Substitute - SHB 2077","HRules C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the placement of human trafficking informational posters in rest areas.","Griffey, Orwall, Rude, Simmons, Taylor, Davis, Klippert, Leavitt, Berg, Senn, Wicks, Kraft, Dent, Santos, Mosbrucker, Morgan, Paul, Chambers, Jacobsen, Robertson, Pollet, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 22.",11,10,32,"2022","bipartisan","rules committee",NA,NA
"1079",2078,"https://app.leg.wa.gov/billsummary?BillNumber=2078&Year=2021&Initiative=false","2nd Substitute - 2SHB 2078","C 112 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Establishing the outdoor school for all program.","Rule, Barkis, Ryu, Fitzgibbon, Simmons, Shewmake, Berry, Leavitt, Berg, Senn, Callan, Dent, Jesse Johnson, Kloba, Bergquist, Chambers, Wicks, Orwall, Tharinger, Taylor, Klippert, Pollet","No Requester","2022 REGULAR SESSION: Start Jan 21 End Feb 12. IN THE SENATE: Start Feb 15 End Mar 4. IN THE HOUSE: Start Mar 8 End Mar 9. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 23.",18,4,61,"2022","bipartisan","passed",112,22
"1080",2079,"https://app.leg.wa.gov/billsummary?BillNumber=2079&Year=2021&Initiative=false","HB 2079","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning medicaid coverage for HIV antiviral drugs.","Rude, Macri, Simmons, Ormsby, Slatter, Walen, Davis, Valdez, Santos, Pollet, Kloba","No Requester","2022 REGULAR SESSION: Start Jan 24 End Jan 24.",9,1,0,"2022","bipartisan","in committee",NA,NA
"1081",2080,"https://app.leg.wa.gov/billsummary?BillNumber=2080&Year=2021&Initiative=false","HB 2080","HRules/RET","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Creating a liquor license endorsement.","Vick, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 24 End Mar 10.",0,2,45,"2022","republican","rules committee",NA,NA
"1082",2081,"https://app.leg.wa.gov/billsummary?BillNumber=2081&Year=2021&Initiative=false","HB 2081","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Expanding voter registration and elections access.","Young, Chase, Sutherland, Graham","No Requester","2022 REGULAR SESSION: Start Jan 24 End Jan 24.",0,4,0,"2022","republican","in committee",NA,NA
"1083",2082,"https://app.leg.wa.gov/billsummary?BillNumber=2082&Year=2021&Initiative=false","Substitute - SHB 2082","HRules C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Assessing child care access.","Klippert, Sutherland, Graham","No Requester","2022 REGULAR SESSION: Start Jan 24 End Feb 22.",0,3,29,"2022","republican","rules committee",NA,NA
"1084",2083,"https://app.leg.wa.gov/billsummary?BillNumber=2083&Year=2021&Initiative=false","HB 2083","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing consent to long-term care placement and services.","Macri, Harris, Santos, Gilday","No Requester","2022 REGULAR SESSION: Start Jan 24 End Jan 26.",1,2,2,"2022","bipartisan","in committee",NA,NA
"1085",2084,"https://app.leg.wa.gov/billsummary?BillNumber=2084&Year=2021&Initiative=false","HB 2084","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Requiring the joint transportation committee to conduct a study of a third bridge over the Columbia river between southwest Washington and Oregon.","Vick, Hoff, Sutherland, Kraft","No Requester","2022 REGULAR SESSION: Start Jan 24 End Feb 4.",0,4,11,"2022","republican","in committee",NA,NA
"1086",2085,"https://app.leg.wa.gov/billsummary?BillNumber=2085&Year=2021&Initiative=false","HB 2085","HLocal Govt","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning temporary emergency shelters.","Wicks, Morgan","No Requester","2022 REGULAR SESSION: Start Jan 24 End Jan 24.",2,0,0,"2022","democrat","in committee",NA,NA
"1087",2086,"https://app.leg.wa.gov/billsummary?BillNumber=2086&Year=2021&Initiative=false","HB 2086","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning aviation assurance funding in response to wildland fires.","Dye, Sutherland, Graham","No Requester","2022 REGULAR SESSION: Start Jan 24 End Jan 28.",0,3,4,"2022","republican","in committee",NA,NA
"1088",2087,"https://app.leg.wa.gov/billsummary?BillNumber=2087&Year=2021&Initiative=false","HB 2087","HEducation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing parents' bill of rights related to their child's public education.","Klippert, Jacobsen, Chase, Sutherland, Graham, Young","No Requester","2022 REGULAR SESSION: Start Jan 25 End Jan 25.",0,6,0,"2022","republican","in committee",NA,NA
"1089",2088,"https://app.leg.wa.gov/billsummary?BillNumber=2088&Year=2021&Initiative=false","HB 2088","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Protecting homeowners navigating the foreclosure process.","Orwall, Ryu, Fitzgibbon, Santos, Sutherland, Ramel","No Requester","2022 REGULAR SESSION: Start Jan 25 End Jan 25.",4,1,0,"2022","bipartisan","in committee",NA,NA
"1090",2089,"https://app.leg.wa.gov/billsummary?BillNumber=2089&Year=2021&Initiative=false","HB 2089","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Modifying the bond authorization for the Interstate 405 and state route number 167 corridor and the Puget Sound Gateway facility.","Slatter, Duerr, Ryu, Fey, Bergquist, Kloba","No Requester","2022 REGULAR SESSION: Start Jan 25 End Feb 4.",7,0,10,"2022","democrat","in committee",NA,NA
"1091",2090,"https://app.leg.wa.gov/billsummary?BillNumber=2090&Year=2021&Initiative=false","HB 2090","HEducation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing a process for students to earn academic credit by participating in activities of federally recognized Indian tribes.","Lekanoff, Ryu, Santos, Sutherland, Davis, Ramel, Pollet","No Requester","2022 REGULAR SESSION: Start Jan 25 End Jan 25.",5,1,0,"2022","bipartisan","in committee",NA,NA
"1092",2091,"https://app.leg.wa.gov/billsummary?BillNumber=2091&Year=2021&Initiative=false","HB 2091","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Creating pathways to recovery from addiction by eliminating an obsolete tax preference for the warehousing of opioids and other drugs.","Davis, Berg, Ryu, Santos, Bergquist, Ramel, Kloba, Pollet","No Requester","2022 REGULAR SESSION: Start Jan 25 End Feb 3.",7,0,9,"2022","democrat","in committee",NA,NA
"1093",2092,"https://app.leg.wa.gov/billsummary?BillNumber=2092&Year=2021&Initiative=false","HB 2092","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Incorporating product lead time into competitive solicitation standards for state and local procurement.","Klicker, Chase, Sutherland, Chambers","No Requester","2022 REGULAR SESSION: Start Jan 25 End Jan 25.",0,4,0,"2022","republican","in committee",NA,NA
"1094",2093,"https://app.leg.wa.gov/billsummary?BillNumber=2093&Year=2021&Initiative=false","HB 2093","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Increasing county timber tax distributions by reducing the charge for administrative and collection costs.","Abbarno, Volz, Sutherland, Graham, Walsh, Gilday","No Requester","2022 REGULAR SESSION: Start Jan 26 End Feb 3.",0,6,8,"2022","republican","in committee",NA,NA
"1095",2094,"https://app.leg.wa.gov/billsummary?BillNumber=2094&Year=2021&Initiative=false","HB 2094","HPublic Safety","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Prohibiting persons convicted of violent offenses with firearm enhancements from receiving earned early release credits.","Graham, Volz, Boehnke, Robertson, Walsh, Jacobsen, Sutherland, Klippert, McCaslin, Gilday","No Requester","2022 REGULAR SESSION: Start Jan 26 End Jan 26.",0,10,0,"2022","republican","in committee",NA,NA
"1096",2095,"https://app.leg.wa.gov/billsummary?BillNumber=2095&Year=2021&Initiative=false","HB 2095","HCap Budget","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing a school seismic safety grant program.","Pollet, Berry, Ryu, Chapman, Wicks, Callan, Shewmake, Leavitt, Santos, Ramel, Paul, Frame, Valdez","No Requester","2022 REGULAR SESSION: Start Jan 26 End Jan 26.",12,0,0,"2022","democrat","in committee",NA,NA
"1097",2096,"https://app.leg.wa.gov/billsummary?BillNumber=2096&Year=2021&Initiative=false","Engrossed - EHB 2096","C 41 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning the working families' tax exemption, also known as the working families tax credit.","Thai, Frame, Berry, Sutherland, Kloba, Pollet","Department of Revenue","2022 REGULAR SESSION: Start Jan 26 End Feb 12. IN THE SENATE: Start Feb 15 End Mar 3. IN THE HOUSE: Start Mar 3 End Mar 3. IN THE SENATE: Start Mar 4 End Mar 4. OTHER THAN LEGISLATIVE ACTION: Start Mar 7 End Mar 11.",5,1,44,"2022","bipartisan","passed",41,22
"1098",2097,"https://app.leg.wa.gov/billsummary?BillNumber=2097&Year=2021&Initiative=false","HB 2097","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Changing the definition of first-time home buyer.","Donaghy, Ryu, Macri, Ramel, Walen, Paul, Frame, Taylor","No Requester","2022 REGULAR SESSION: Start Jan 26 End Feb 11. IN THE SENATE: Start Feb 14 End Mar 10.",8,0,43,"2022","democrat","rules committee",NA,NA
"1099",2098,"https://app.leg.wa.gov/billsummary?BillNumber=2098&Year=2021&Initiative=false","HB 2098","HRules 3C","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Modifying the interest rate for the low-income home rehabilitation revolving loan program.","Shewmake, Ramel, Frame, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 26 End Feb 9. IN THE SENATE: Start Feb 11 End Mar 10.",3,1,43,"2022","bipartisan","rules committee",NA,NA
"1100",2099,"https://app.leg.wa.gov/billsummary?BillNumber=2099&Year=2021&Initiative=false","Substitute - SHB 2099","C 282 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Improving tax administration by waiving penalties and imposing interest in certain situations involving delayed tax payments, and by extending a statute of limitations period for certain egregious tax crimes.","Berg, Frame, Sutherland","Department of Revenue","2022 REGULAR SESSION: Start Jan 26 End Feb 26. IN THE SENATE: Start Mar 1 End Mar 10. IN THE HOUSE: Start Mar 10 End Mar 10. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 31.",2,1,64,"2022","bipartisan","passed",282,22
"1101",2100,"https://app.leg.wa.gov/billsummary?BillNumber=2100&Year=2021&Initiative=false","HB 2100","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the autonomous vehicle self-certification testing pilot program.","Boehnke, Bronoske, Eslick","No Requester","2022 REGULAR SESSION: Start Jan 27 End Feb 4.",1,2,8,"2022","bipartisan","in committee",NA,NA
"1102",2101,"https://app.leg.wa.gov/billsummary?BillNumber=2101&Year=2021&Initiative=false","HB 2101","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Modifying the scope of locations to which a water right established as a family farm permit may be transferred.","Goehner, Eslick, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 27 End Jan 27.",0,3,0,"2022","republican","in committee",NA,NA
"1103",2102,"https://app.leg.wa.gov/billsummary?BillNumber=2102&Year=2021&Initiative=false","HB 2102","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Commissioning a study and audits to examine current laws applicable to farmworkers related to workplace health and safety, housing needs, and harassment, discrimination, and retaliation.","Ortiz-Self, Valdez, Santos, Taylor, Berry, Pollet, Ramel, Ryu, Jesse Johnson","No Requester","2022 REGULAR SESSION: Start Jan 27 End Jan 27.",8,0,0,"2022","democrat","in committee",NA,NA
"1104",2103,"https://app.leg.wa.gov/billsummary?BillNumber=2103&Year=2021&Initiative=false","HB 2103","HCivil R & Judi","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing the enforceability of, and available remedies relating to, contracts affected by commercial bribery.","Kirby","No Requester","2022 REGULAR SESSION: Start Jan 28 End Jan 28.",1,0,0,"2022","democrat","in committee",NA,NA
"1105",2104,"https://app.leg.wa.gov/billsummary?BillNumber=2104&Year=2021&Initiative=false","HB 2104","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the auction of abandoned vehicles and payment of sales tax.","Kirby","No Requester","2022 REGULAR SESSION: Start Jan 28 End Jan 28.",1,0,0,"2022","democrat","in committee",NA,NA
"1106",2105,"https://app.leg.wa.gov/billsummary?BillNumber=2105&Year=2021&Initiative=false","Substitute - SHB 2105","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning service of notice on landlords and tenants.","Gilday, Chapman, Walen, Barkis, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 28 End Feb 3.",2,3,6,"2022","bipartisan","rules committee",NA,NA
"1107",2106,"https://app.leg.wa.gov/billsummary?BillNumber=2106&Year=2021&Initiative=false","HB 2106","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Clarifying the existence of riparian stock watering rights.","Klicker, Dent, Klippert, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 28 End Jan 28.",0,4,0,"2022","republican","in committee",NA,NA
"1108",2107,"https://app.leg.wa.gov/billsummary?BillNumber=2107&Year=2021&Initiative=false","HB 2107","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Creating an excise tax on the collection of consumer data by commercial data collectors.","Kloba, Donaghy, Pollet, Chase, Ramel","No Requester","2022 REGULAR SESSION: Start Jan 28 End Jan 28.",4,1,0,"2022","bipartisan","in committee",NA,NA
"1109",2108,"https://app.leg.wa.gov/billsummary?BillNumber=2108&Year=2021&Initiative=false","HB 2108","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Forgiving the first two payments due under the sales and use tax deferral for historic auto museums in response to operational delays caused by the COVID-19 pandemic.","Fey, Barkis, Jacobsen, Robertson, Sutherland","No Requester","2022 REGULAR SESSION: Start Jan 28 End Jan 28.",1,4,0,"2022","bipartisan","in committee",NA,NA
"1110",2109,"https://app.leg.wa.gov/billsummary?BillNumber=2109&Year=2021&Initiative=false","HB 2109","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the length of legislative sessions.","Volz, Walsh","No Requester","2022 REGULAR SESSION: Start Jan 31 End Jan 31.",0,2,0,"2022","republican","in committee",NA,NA
"1111",2110,"https://app.leg.wa.gov/billsummary?BillNumber=2110&Year=2021&Initiative=false","HB 2110","HRDev, Ag&NR","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning fish and wildlife enforcement.","Walsh, McEntire, Klippert","No Requester","2022 REGULAR SESSION: Start Jan 31 End Jan 31.",0,3,0,"2022","republican","in committee",NA,NA
"1112",2111,"https://app.leg.wa.gov/billsummary?BillNumber=2111&Year=2021&Initiative=false","HB 2111","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Exempting newspapers from business and occupation tax.","Pollet, Walen, Chapman, Ramel, Orwall, Duerr, Leavitt, Shewmake, Ryu, Valdez","No Requester","2022 REGULAR SESSION: Start Jan 31 End Jan 31.",10,0,0,"2022","democrat","in committee",NA,NA
"1113",2112,"https://app.leg.wa.gov/billsummary?BillNumber=2112&Year=2021&Initiative=false","HB 2112","HCommerce & Gam","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reducing liquor license fees for preventing sales to minors.","Vick, Robertson, Sutherland","No Requester","2022 REGULAR SESSION: Start Feb 1 End Feb 1.",0,3,0,"2022","republican","in committee",NA,NA
"1114",2113,"https://app.leg.wa.gov/billsummary?BillNumber=2113&Year=2021&Initiative=false","HB 2113","HPublic Safety","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Establishing an organized retail theft task force.","Vick, Rule, Robertson, Callan, Chapman, Sutherland, Young","No Requester","2022 REGULAR SESSION: Start Feb 1 End Feb 1.",3,4,0,"2022","bipartisan","in committee",NA,NA
"1115",2114,"https://app.leg.wa.gov/billsummary?BillNumber=2114&Year=2021&Initiative=false","HB 2114","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Supporting entrepreneurship and start-up businesses.","Kraft, Sutherland","No Requester","2022 REGULAR SESSION: Start Feb 1 End Feb 1.",0,2,0,"2022","republican","in committee",NA,NA
"1116",2115,"https://app.leg.wa.gov/billsummary?BillNumber=2115&Year=2021&Initiative=false","HB 2115","HState Govt & T","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Improving election integrity, security, and accountability for Washington voters.","Kraft, Chase, Sutherland, McCaslin","No Requester","2022 REGULAR SESSION: Start Feb 3 End Feb 3.",0,4,0,"2022","republican","in committee",NA,NA
"1117",2116,"https://app.leg.wa.gov/billsummary?BillNumber=2116&Year=2021&Initiative=false","HB 2116","HEnv & Energy","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the commercial use of nonbiodegradable packaging.","Thai, Pollet","No Requester","2022 REGULAR SESSION: Start Feb 3 End Feb 3.",2,0,0,"2022","democrat","in committee",NA,NA
"1118",2117,"https://app.leg.wa.gov/billsummary?BillNumber=2117&Year=2021&Initiative=false","HB 2117","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Ensuring a terminally ill patient's right to visitors.","Chase, Sutherland, Chambers, Jacobsen, Eslick, Young","No Requester","2022 REGULAR SESSION: Start Feb 9 End Feb 9.",0,6,0,"2022","republican","in committee",NA,NA
"1119",2118,"https://app.leg.wa.gov/billsummary?BillNumber=2118&Year=2021&Initiative=false","Substitute - SHB 2118","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning additive transportation funding and appropriations.","Fey, Wylie, Riccelli","No Requester","2022 REGULAR SESSION: Start Feb 10 End Feb 28.",3,0,18,"2022","democrat","rules committee",NA,NA
"1120",2119,"https://app.leg.wa.gov/billsummary?BillNumber=2119&Year=2021&Initiative=false","Substitute - SHB 2119","HRules R","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing transportation resources.","Fey, Wylie, Riccelli","No Requester","2022 REGULAR SESSION: Start Feb 10 End Feb 24.",3,0,14,"2022","democrat","rules committee",NA,NA
"1121",2120,"https://app.leg.wa.gov/billsummary?BillNumber=2120&Year=2021&Initiative=false","HB 2120","HPublic Safety","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning crimes involving emergency services.","Young, Walsh","No Requester","2022 REGULAR SESSION: Start Feb 13 End Feb 13.",0,2,0,"2022","republican","in committee",NA,NA
"1122",2121,"https://app.leg.wa.gov/billsummary?BillNumber=2121&Year=2021&Initiative=false","HB 2121","HHC/Wellness","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning abortion.","Young, Klippert","No Requester","2022 REGULAR SESSION: Start Feb 15 End Feb 15.",0,2,0,"2022","republican","in committee",NA,NA
"1123",2122,"https://app.leg.wa.gov/billsummary?BillNumber=2122&Year=2021&Initiative=false","HB 2122","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning cannabinoid products.","Kloba, Ryu, Callan, Wicks, Dolan, Bateman","No Requester","2022 REGULAR SESSION: Start Feb 21 End Feb 21.",6,0,0,"2022","democrat","in committee",NA,NA
"1124",2123,"https://app.leg.wa.gov/billsummary?BillNumber=2123&Year=2021&Initiative=false","HB 2123","HApprops","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning cannabinoid products.","MacEwen, Springer, Young, Robertson, Vick, Chapman, Corry, Walen","No Requester","2022 REGULAR SESSION: Start Feb 22 End Feb 22.",3,5,0,"2022","bipartisan","in committee",NA,NA
"1125",2124,"https://app.leg.wa.gov/billsummary?BillNumber=2124&Year=2021&Initiative=false","Engrossed Substitute - ESHB 2124","C 283 L 22","['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Concerning extending collective bargaining to legislative employees.","Riccelli, Sullivan, Frame, Ramel, Chapman, Ryu, Paul, Simmons, Stonier, Bergquist, Wicks, Valdez, Gregerson, Santos, Ramos, Jesse Johnson, Walen, Tharinger, Bateman, Callan, Thai, Taylor, Leavitt, Senn, Wylie, Macri, Ormsby, Pollet, Morgan, Bronoske, Kloba, Davis, Slatter, Berg, Lekanoff, Entenman, Ortiz-Self, Duerr, Peterson, Harris-Talley, Cody, Hackney, Chopp, Orwall, Rule","No Requester","2022 REGULAR SESSION: Start Feb 23 End Mar 1. IN THE SENATE: Start Mar 3 End Mar 10. IN THE HOUSE: Start Mar 10 End Mar 10. IN THE SENATE: Start Mar 10 End Mar 10. OTHER THAN LEGISLATIVE ACTION: Start Mar 10 End Mar 31.",43,1,36,"2022","bipartisan","passed",283,22
"1126",2125,"https://app.leg.wa.gov/billsummary?BillNumber=2125&Year=2021&Initiative=false","HB 2125","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the valuation of property for purposes of state property tax levies.","Walsh","No Requester","2022 REGULAR SESSION: Start Feb 23 End Feb 23.",0,1,0,"2022","republican","in committee",NA,NA
"1127",2126,"https://app.leg.wa.gov/billsummary?BillNumber=2126&Year=2021&Initiative=false","HB 2126","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reducing the property tax.","Walsh","No Requester","2022 REGULAR SESSION: Start Feb 23 End Feb 23.",0,1,0,"2022","republican","in committee",NA,NA
"1128",2127,"https://app.leg.wa.gov/billsummary?BillNumber=2127&Year=2021&Initiative=false","HB 2127","HTransportation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Addressing the Tacoma Narrows bridge toll debt.","Young","No Requester","2022 REGULAR SESSION: Start Feb 25 End Feb 28.",0,1,3,"2022","republican","in committee",NA,NA
"1129",2128,"https://app.leg.wa.gov/billsummary?BillNumber=2128&Year=2021&Initiative=false","HB 2128","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Imposing an impact assessment fee on admission to events at certain facilities to fund the related community preservation and development authority.","Santos, Fitzgibbon","No Requester","2022 REGULAR SESSION: Start Feb 25 End Feb 25.",1,0,0,"2022","democrat","in committee",NA,NA
"1130",2129,"https://app.leg.wa.gov/billsummary?BillNumber=2129&Year=2021&Initiative=false","HB 2129","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Concerning the valuation of property for purposes of state property tax levies.","Young, Graham, Chase","No Requester","2022 REGULAR SESSION: Start Feb 26 End Feb 26.",0,3,0,"2022","republican","in committee",NA,NA
"1131",2130,"https://app.leg.wa.gov/billsummary?BillNumber=2130&Year=2021&Initiative=false","HB 2130","HFinance","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Reducing the state sales and use tax rate.","Chambers, Walen","No Requester","2022 REGULAR SESSION: Start Feb 28 End Feb 28.",1,1,0,"2022","bipartisan","in committee",NA,NA
"1132",2131,"https://app.leg.wa.gov/billsummary?BillNumber=2131&Year=2021&Initiative=false","HB 2131","HEducation","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Providing parents and their children with more choices for a quality K-12 education through the family empowerment scholarship program.","Klippert","No Requester","2022 REGULAR SESSION: Start Feb 28 End Feb 28.",0,1,0,"2022","republican","in committee",NA,NA
